example_id                                                | status | run_time        |
./spec/models/vehicle_spec.rb[1:5:2]                      | passed | 0.01303 seconds |
./spec/models/vehicle_spec.rb[1:5:3]                      | passed | 0.02346 seconds |
./spec/models/vehicle_spec.rb[1:5:4]                      | passed | 0.02069 seconds |
./spec/models/vehicle_spec.rb[1:6:1]                      | passed | 0.05777 seconds |
./spec/models/vehicle_spec.rb[1:7:1]                      | passed | 0.05808 seconds |
./spec/models/vehicle_spec.rb[1:8:1]                      | passed | 0.02601 seconds |
./spec/models/vehicle_spec.rb[1:8:2]                      | passed | 0.03666 seconds |
./spec/models/vehicle_spec.rb[1:8:3]                      | passed | 0.02574 seconds |
./spec/models/vehicle_spec.rb[1:8:4]                      | passed | 0.02704 seconds |
./spec/models/vehicle_spec.rb[1:8:5]                      | passed | 0.03149 seconds |
./spec/models/vehicle_spec.rb[1:8:6]                      | passed | 0.02504 seconds |
./spec/models/vehicle_spec.rb[1:8:7]                      | passed | 0.02429 seconds |
./spec/models/vehicle_spec.rb[1:8:8]                      | passed | 0.02783 seconds |
./spec/services/kafka_consumer_service_spec.rb[1:1:1]     | passed | 0.02307 seconds |
./spec/services/kafka_consumer_service_spec.rb[1:2:1]     | passed | 0.00581 seconds |
./spec/services/kafka_consumer_service_spec.rb[1:3:1]     | passed | 0.02247 seconds |
./spec/services/kafka_consumer_service_spec.rb[1:3:2]     | passed | 0.02079 seconds |
./spec/services/kafka_producer_service_spec.rb[1:1:1]     | passed | 0.00551 seconds |
./spec/services/kafka_producer_service_spec.rb[1:1:2]     | passed | 0.0056 seconds  |
./spec/services/price_calculator_spec.rb[1:1:1]           | passed | 0.04492 seconds |
./spec/services/price_calculator_spec.rb[1:1:2]           | passed | 0.04023 seconds |
./spec/services/price_calculator_spec.rb[1:1:3]           | passed | 0.06272 seconds |
./spec/services/price_calculator_spec.rb[1:1:4]           | passed | 0.06002 seconds |
./spec/services/price_calculator_spec.rb[1:1:5]           | passed | 0.0432 seconds  |
./spec/services/price_calculator_spec.rb[1:1:6]           | passed | 0.05332 seconds |
./spec/services/price_calculator_spec.rb[1:1:7]           | passed | 0.03989 seconds |
./spec/services/price_calculator_spec.rb[1:2:1]           | passed | 0.00448 seconds |
./spec/services/price_calculator_spec.rb[1:2:2]           | passed | 0.00636 seconds |
./spec/services/query_normalizer_spec.rb[1:1:1]           | passed | 0.0041 seconds  |
./spec/services/query_normalizer_spec.rb[1:1:2]           | passed | 0.0055 seconds  |
./spec/services/query_normalizer_spec.rb[1:1:3]           | passed | 0.00263 seconds |
./spec/services/query_normalizer_spec.rb[1:1:4]           | passed | 0.00499 seconds |
./spec/services/query_normalizer_spec.rb[1:1:5]           | passed | 0.00286 seconds |
./spec/services/query_normalizer_spec.rb[1:1:6]           | passed | 0.00364 seconds |
./spec/services/query_normalizer_spec.rb[1:1:7]           | passed | 0.00307 seconds |
./spec/services/query_normalizer_spec.rb[1:2:1]           | passed | 0.00407 seconds |
./spec/services/query_normalizer_spec.rb[1:2:2]           | passed | 0.005 seconds   |
./spec/services/query_normalizer_spec.rb[1:2:3]           | passed | 0.00548 seconds |
./spec/services/query_normalizer_spec.rb[1:2:4]           | passed | 0.00523 seconds |
./spec/services/query_normalizer_spec.rb[1:2:5]           | passed | 0.00362 seconds |
./spec/services/similarity_calculator_spec.rb[1:1:1]      | passed | 0.00814 seconds |
./spec/services/similarity_calculator_spec.rb[1:1:2]      | passed | 0.00364 seconds |
./spec/services/similarity_calculator_spec.rb[1:1:3]      | passed | 0.00288 seconds |
./spec/services/similarity_calculator_spec.rb[1:1:4]      | passed | 0.00495 seconds |
./spec/services/similarity_calculator_spec.rb[1:1:5]      | passed | 0.00414 seconds |
./spec/services/similarity_calculator_spec.rb[1:1:6]      | passed | 0.00286 seconds |
